instance,num agents,algorithm,length,loops
163,9,Window8,77,0
163,9,Window4,78,0
163,9,Window2,78,0
164,10,Window8,87,0
164,10,Window4,90,0
164,10,Window2,90,0
165,11,Window8,106,0
165,11,Window4,106,0
165,11,Window2,109,0
166,12,Window8,112,0
166,12,Window4,112,0
166,12,Window2,112,0
167,13,Window8,147,0
167,13,Window4,157,0
167,13,Window2,149,0
168,14,Window8,145,0
168,14,Window4,147,0
168,14,Window2,149,0
169,15,Window8,141,0
169,15,Window4,141,0
169,15,Window2,143,0
170,16,Window8,126,1
170,16,Window4,122,0
170,16,Window2,124,0
171,17,Window8,156,0
171,17,Window4,164,0
171,17,Window2,164,0
172,18,Window8,NA,NA
172,18,Window4,NA,NA
172,18,Window2,NA,NA
173,19,Window8,171,0
173,19,Window4,182,0
173,19,Window2,185,0
174,20,Window8,176,0
174,20,Window4,177,0
174,20,Window2,183,0
175,21,Window8,195,0
175,21,Window4,191,0
175,21,Window2,192,0
176,22,Window8,191,0
176,22,Window4,188,0
176,22,Window2,194,0
177,23,Window8,175,0
177,23,Window4,181,0
177,23,Window2,181,0
178,24,Window8,223,0
178,24,Window4,229,0
178,24,Window2,230,0
179,25,Window8,237,0
179,25,Window4,252,0
179,25,Window2,239,0
180,26,Window8,222,0
180,26,Window4,219,0
180,26,Window2,217,0
181,27,Window8,236,0
181,27,Window4,234,0
181,27,Window2,242,0
182,28,Window8,255,1
182,28,Window4,256,0
182,28,Window2,257,0
183,29,Window8,271,0
183,29,Window4,269,0
183,29,Window2,276,0
184,30,Window8,NA,NA
184,30,Window4,310,1
184,30,Window2,306,0
185,31,Window8,254,0
185,31,Window4,249,0
185,31,Window2,248,0
186,32,Window8,NA,NA
186,32,Window4,333,0
186,32,Window2,342,0
187,33,Window8,NA,NA
187,33,Window4,NA,NA
187,33,Window2,367,0
188,34,Window8,NA,NA
188,34,Window4,NA,NA
188,34,Window2,343,0
189,35,Window8,NA,NA
189,35,Window4,NA,NA
189,35,Window2,NA,NA
190,36,Window8,NA,NA
190,36,Window4,NA,NA
190,36,Window2,340,0
191,37,Window8,NA,NA
191,37,Window4,NA,NA
191,37,Window2,NA,NA
192,38,Window8,NA,NA
192,38,Window4,NA,NA
192,38,Window2,NA,NA
193,39,Window8,NA,NA
193,39,Window4,NA,NA
193,39,Window2,NA,NA
194,40,Window8,NA,NA
194,40,Window4,NA,NA
194,40,Window2,NA,NA
195,2,Window8,18,0
195,2,Window4,18,0
195,2,Window2,18,0
196,3,Window8,30,0
196,3,Window4,30,0
196,3,Window2,30,0
197,4,Window8,36,0
197,4,Window4,36,0
197,4,Window2,36,0
198,5,Window8,37,0
198,5,Window4,37,0
198,5,Window2,37,0
199,6,Window8,66,0
199,6,Window4,66,0
199,6,Window2,66,0
200,7,Window8,45,0
200,7,Window4,45,0
200,7,Window2,45,0
201,8,Window8,78,0
201,8,Window4,78,0
201,8,Window2,78,0
202,9,Window8,57,0
202,9,Window4,57,0
202,9,Window2,56,0
203,10,Window8,99,0
203,10,Window4,100,0
203,10,Window2,100,0
204,11,Window8,117,0
204,11,Window4,118,0
204,11,Window2,129,0
205,12,Window8,96,0
205,12,Window4,96,0
205,12,Window2,99,0
206,13,Window8,88,0
206,13,Window4,89,0
206,13,Window2,88,0
207,14,Window8,108,0
207,14,Window4,108,0
207,14,Window2,108,0
208,15,Window8,159,0
208,15,Window4,157,0
208,15,Window2,159,0
209,16,Window8,147,0
209,16,Window4,149,1
209,16,Window2,NA,NA
210,17,Window8,134,0
210,17,Window4,142,0
210,17,Window2,142,0
211,18,Window8,160,0
211,18,Window4,159,0
211,18,Window2,160,0
212,19,Window8,181,0
212,19,Window4,175,0
212,19,Window2,174,0
213,20,Window8,137,0
213,20,Window4,137,0
213,20,Window2,NA,NA
214,21,Window8,185,0
214,21,Window4,185,0
214,21,Window2,201,1
215,22,Window8,179,0
215,22,Window4,175,0
215,22,Window2,175,0
216,23,Window8,247,0
216,23,Window4,249,0
216,23,Window2,251,0
217,24,Window8,218,0
217,24,Window4,220,0
217,24,Window2,224,2
218,25,Window8,225,0
218,25,Window4,222,0
218,25,Window2,224,0
219,26,Window8,251,0
219,26,Window4,247,1
219,26,Window2,251,0
220,27,Window8,233,0
220,27,Window4,237,0
220,27,Window2,237,0
221,28,Window8,NA,NA
221,28,Window4,283,0
221,28,Window2,290,1
222,29,Window8,267,0
222,29,Window4,265,0
222,29,Window2,272,0
223,30,Window8,NA,NA
223,30,Window4,NA,NA
223,30,Window2,272,0
224,31,Window8,NA,NA
224,31,Window4,305,0
224,31,Window2,307,1
225,32,Window8,NA,NA
225,32,Window4,328,1
225,32,Window2,351,0
226,33,Window8,295,0
226,33,Window4,299,0
226,33,Window2,301,0
227,34,Window8,NA,NA
227,34,Window4,NA,NA
227,34,Window2,NA,NA
228,35,Window8,NA,NA
228,35,Window4,NA,NA
228,35,Window2,NA,NA
229,36,Window8,NA,NA
229,36,Window4,NA,NA
229,36,Window2,365,2
230,37,Window8,NA,NA
230,37,Window4,341,0
230,37,Window2,348,0
231,38,Window8,NA,NA
231,38,Window4,NA,NA
231,38,Window2,NA,NA
232,39,Window8,NA,NA
232,39,Window4,NA,NA
232,39,Window2,NA,NA
233,40,Window8,NA,NA
233,40,Window4,NA,NA
233,40,Window2,NA,NA
234,2,Window8,25,0
234,2,Window4,25,0
234,2,Window2,25,0
235,3,Window8,30,0
235,3,Window4,30,0
235,3,Window2,30,0
236,4,Window8,39,0
236,4,Window4,39,0
236,4,Window2,39,0
237,5,Window8,34,0
237,5,Window4,34,0
237,5,Window2,34,0
238,6,Window8,59,0
238,6,Window4,59,0
238,6,Window2,59,0
239,7,Window8,53,0
239,7,Window4,53,0
239,7,Window2,58,0
240,8,Window8,60,0
240,8,Window4,60,0
240,8,Window2,60,0
241,9,Window8,54,0
241,9,Window4,54,0
241,9,Window2,54,0
242,10,Window8,78,0
242,10,Window4,83,0
242,10,Window2,85,0
243,11,Window8,97,0
243,11,Window4,99,0
243,11,Window2,99,0
244,12,Window8,122,0
244,12,Window4,117,0
244,12,Window2,122,0
245,13,Window8,108,0
245,13,Window4,108,0
245,13,Window2,108,0
246,14,Window8,131,0
246,14,Window4,132,0
246,14,Window2,132,0
247,15,Window8,109,0
247,15,Window4,109,0
247,15,Window2,111,0
248,16,Window8,146,0
248,16,Window4,148,0
248,16,Window2,150,0
249,17,Window8,173,0
249,17,Window4,175,0
249,17,Window2,175,0
250,18,Window8,158,0
250,18,Window4,158,0
250,18,Window2,159,0
251,19,Window8,175,0
251,19,Window4,175,0
251,19,Window2,172,0
252,20,Window8,186,0
252,20,Window4,186,0
252,20,Window2,188,0
253,21,Window8,185,0
253,21,Window4,187,0
253,21,Window2,189,0
254,22,Window8,170,0
254,22,Window4,163,0
254,22,Window2,177,0
255,23,Window8,229,0
255,23,Window4,227,0
255,23,Window2,235,0
256,24,Window8,267,0
256,24,Window4,267,0
256,24,Window2,276,0
257,25,Window8,249,0
257,25,Window4,230,0
257,25,Window2,227,2
258,26,Window8,274,0
258,26,Window4,282,0
258,26,Window2,291,1
259,27,Window8,251,0
259,27,Window4,253,1
259,27,Window2,252,0
260,28,Window8,270,1
260,28,Window4,257,0
260,28,Window2,272,0
261,29,Window8,NA,NA
261,29,Window4,246,1
261,29,Window2,250,0
262,30,Window8,277,0
262,30,Window4,301,1
262,30,Window2,303,0
263,31,Window8,278,0
263,31,Window4,275,0
263,31,Window2,280,1
264,32,Window8,NA,NA
264,32,Window4,NA,NA
264,32,Window2,NA,NA
265,33,Window8,NA,NA
265,33,Window4,317,0
265,33,Window2,328,0
266,34,Window8,NA,NA
266,34,Window4,286,0
266,34,Window2,293,0
267,35,Window8,NA,NA
267,35,Window4,NA,NA
267,35,Window2,332,0
268,36,Window8,NA,NA
268,36,Window4,332,0
268,36,Window2,NA,NA
269,37,Window8,NA,NA
269,37,Window4,NA,NA
269,37,Window2,NA,NA
270,38,Window8,NA,NA
270,38,Window4,NA,NA
270,38,Window2,NA,NA
271,39,Window8,NA,NA
271,39,Window4,NA,NA
271,39,Window2,NA,NA
272,40,Window8,NA,NA
272,40,Window4,NA,NA
272,40,Window2,NA,NA
273,2,Window8,24,0
273,2,Window4,24,0
273,2,Window2,24,0
274,3,Window8,26,0
274,3,Window4,26,0
274,3,Window2,26,0
275,4,Window8,33,0
275,4,Window4,33,0
275,4,Window2,33,0
276,5,Window8,47,0
276,5,Window4,47,0
276,5,Window2,47,0
277,6,Window8,58,0
277,6,Window4,58,0
277,6,Window2,59,0
278,7,Window8,57,0
278,7,Window4,57,0
278,7,Window2,57,0
279,8,Window8,76,0
279,8,Window4,77,0
279,8,Window2,77,0
280,9,Window8,71,0
280,9,Window4,65,0
280,9,Window2,65,0
281,10,Window8,79,0
281,10,Window4,79,0
281,10,Window2,79,0
282,11,Window8,121,0
282,11,Window4,120,0
282,11,Window2,121,0
283,12,Window8,111,0
283,12,Window4,111,0
283,12,Window2,111,0
284,13,Window8,148,0
284,13,Window4,151,0
284,13,Window2,150,0
285,14,Window8,121,0
285,14,Window4,120,0
285,14,Window2,119,0
286,15,Window8,104,0
286,15,Window4,104,0
286,15,Window2,104,0
287,16,Window8,143,0
287,16,Window4,150,0
287,16,Window2,160,0
288,17,Window8,145,0
288,17,Window4,146,0
288,17,Window2,150,0
289,18,Window8,164,0
289,18,Window4,162,0
289,18,Window2,162,0
290,19,Window8,188,0
290,19,Window4,187,1
290,19,Window2,190,0
291,20,Window8,214,0
291,20,Window4,224,0
291,20,Window2,233,2
292,21,Window8,213,0
292,21,Window4,207,0
292,21,Window2,214,0
293,22,Window8,225,0
293,22,Window4,223,0
293,22,Window2,224,0
294,23,Window8,196,0
294,23,Window4,197,0
294,23,Window2,193,0
295,24,Window8,238,0
295,24,Window4,234,0
295,24,Window2,229,0
296,25,Window8,237,0
296,25,Window4,240,0
296,25,Window2,244,0
297,26,Window8,218,1
297,26,Window4,241,0
297,26,Window2,247,1
298,27,Window8,NA,NA
298,27,Window4,263,2
298,27,Window2,NA,NA
299,28,Window8,229,0
299,28,Window4,225,1
299,28,Window2,232,1
300,29,Window8,NA,NA
300,29,Window4,278,0
300,29,Window2,275,0
301,30,Window8,278,1
301,30,Window4,270,1
301,30,Window2,274,0
302,31,Window8,NA,NA
302,31,Window4,NA,NA
302,31,Window2,358,0
303,32,Window8,278,0
303,32,Window4,280,0
303,32,Window2,288,0
304,33,Window8,NA,NA
304,33,Window4,NA,NA
304,33,Window2,345,0
305,34,Window8,NA,NA
305,34,Window4,318,0
305,34,Window2,367,5
306,35,Window8,NA,NA
306,35,Window4,NA,NA
306,35,Window2,NA,NA
307,36,Window8,NA,NA
307,36,Window4,NA,NA
307,36,Window2,372,1
308,37,Window8,NA,NA
308,37,Window4,NA,NA
308,37,Window2,NA,NA
309,38,Window8,NA,NA
309,38,Window4,310,0
309,38,Window2,322,1
310,39,Window8,NA,NA
310,39,Window4,NA,NA
310,39,Window2,NA,NA
311,40,Window8,NA,NA
311,40,Window4,NA,NA
311,40,Window2,NA,NA
312,2,Window8,13,0
312,2,Window4,13,0
312,2,Window2,13,0
313,3,Window8,27,0
313,3,Window4,27,0
313,3,Window2,27,0
314,4,Window8,30,0
314,4,Window4,30,0
314,4,Window2,30,0
315,5,Window8,40,0
315,5,Window4,40,0
315,5,Window2,40,0
316,6,Window8,61,0
316,6,Window4,61,0
316,6,Window2,62,0
317,7,Window8,63,0
317,7,Window4,63,0
317,7,Window2,64,0
318,8,Window8,95,1
318,8,Window4,94,0
318,8,Window2,94,0
319,9,Window8,92,0
319,9,Window4,92,0
319,9,Window2,92,0
320,10,Window8,88,0
320,10,Window4,92,0
320,10,Window2,91,0
321,11,Window8,104,0
321,11,Window4,103,0
321,11,Window2,103,0
322,12,Window8,85,0
322,12,Window4,85,0
322,12,Window2,85,0
323,13,Window8,128,0
323,13,Window4,119,0
323,13,Window2,132,0
324,14,Window8,126,0
324,14,Window4,127,0
324,14,Window2,126,0
325,15,Window8,110,0
325,15,Window4,121,0
325,15,Window2,111,0
326,16,Window8,169,0
326,16,Window4,172,0
326,16,Window2,176,0
327,17,Window8,158,0
327,17,Window4,157,0
327,17,Window2,158,0
328,18,Window8,167,0
328,18,Window4,163,0
328,18,Window2,172,1
329,19,Window8,174,1
329,19,Window4,174,0
329,19,Window2,175,0
330,20,Window8,167,0
330,20,Window4,169,0
330,20,Window2,171,0
331,21,Window8,209,0
331,21,Window4,208,0
331,21,Window2,203,0
332,22,Window8,200,0
332,22,Window4,203,0
332,22,Window2,203,0
333,23,Window8,199,0
333,23,Window4,188,0
333,23,Window2,191,0
334,24,Window8,205,0
334,24,Window4,207,0
334,24,Window2,208,0
335,25,Window8,217,0
335,25,Window4,215,0
335,25,Window2,225,0
336,26,Window8,244,0
336,26,Window4,247,0
336,26,Window2,242,0
337,27,Window8,227,0
337,27,Window4,226,0
337,27,Window2,233,0
338,28,Window8,247,0
338,28,Window4,252,0
338,28,Window2,249,0
339,29,Window8,259,0
339,29,Window4,271,0
339,29,Window2,NA,NA
340,30,Window8,258,0
340,30,Window4,257,0
